,title,company,salary,summary
0,Front-End Engineer (Pre-Launch Startup),Atomic,,We are looking for hungry and talented front-end engineers to build a great educational product for families with school aged children.
1,HTML/CSS Developer (Marketing),Bayzat,,"Develop features and front-end functionality using HTML5 and CSS.Maintain existing features, write functional and unit tests.Willingness to learn and improve."
2,Junior Programmer,Glyph Software,,Full Time or Remote/Contract.Glyph is seeking an exceptional self-starter who can deliver quality code to specification and project milestones.
3,Software Engineer: Web,Oxide Computer Company,"$180,250 a year","Work with friendly, engaged engineers and designers to build a fast and accessible web interface to the Oxide platform.Write solid JavaScript, HTML, and CSS."
4,Gameplay Programmer - Downpour Interactive,Facebook,,"Architect, design, and implement robust software systems.Collaborate with designers and artists to achieve a shared vision.Experienced with C# and C++."
5,"SOFTWARE ENGINEER, NFT MARKETPLACE, WEB",DraftKings,,You will be assigned directly to one of these teams and will work alongside senior engineers responsible for bringing you up to speed.
6,Junior Full Stack Software Engineer,kraken,,Debug and reconcile cryptocurrency balances and transaction records.Update web application and APIs based on clients’ needs.Familiarity with CI/CD pipelines.
7,PHP & MySQL & HTML/CSS & JS Developers,Retail Ecommerce Ventures,,Retail E Commerce Ventures LLC is seeking highly skilled and experienced.Fluent or near-fluent spoken and written English is a must have requirement so you can…
8,Software Engineer,Offchain Labs,,"This includes Arbitrum, an Optimistic Rollup, that instantly scales apps, reducing costs and increasing capacity, without sacrificing Ethereum's security."
9,Frontend Engineer,Avenue Code,,"You must have demonstrated experience building innovative, intuitive, scalable, and reliable web applications.Strong knowledge and hands-on with HTML, and CSS."
10,Fresher - Associate Trainee / Software Developer,LeewayHertz,,"Java, C/ C++ /Java (Any one is Mandatory).You will be able to learn and responsible to develop either iOS, Android, desktop or Web Applications."
11,Associate Software Engineer,Paylocity,,"As a member of one of our product teams, you will be responsible for creating, enhancing, and supporting common features."
12,html Coder,Resmatic Inc.,,"We have an ongoing need for HTML coders working offsite on a CONTRACT basis.Hand-write basic, clean html code on a contract basis."
13,Software Engineer University Grad,ViaSat,"$83,300 a year","Participate in design, documentation, and development of new APIs.Support continuous software delivery through automated testing, deployment, and monitoring."
14,Software Engineer - Remote - Home Based Worker,Allstate,"$81,900 - $132,000 a year","As a part of Avail, you’ll make a direct impact and help build a business from the ground up.You will be a part of multiple teams tasked with multiple projects…"
15,Frontend Engineer,Avenue Code,,"You must have demonstrated experience building innovative, intuitive, scalable, and reliable web applications.Strong knowledge and hands-on with HTML, and CSS."
16,Fresher - Associate Trainee / Software Developer,LeewayHertz,,"Java, C/ C++ /Java (Any one is Mandatory).You will be able to learn and responsible to develop either iOS, Android, desktop or Web Applications."
17,Associate Software Engineer,Paylocity,,"As a member of one of our product teams, you will be responsible for creating, enhancing, and supporting common features."
18,WebGL Freelancer,Unit9,,"Technically, you will need to have experience in JavaScript (ES6 / ES7), Typescript, React basics, as well as CSS 3D transitions."
19,Software Engineer - Remote - Home Based Worker,Allstate,"$81,900 - $132,000 a year","As a part of Avail, you’ll make a direct impact and help build a business from the ground up.You will be a part of multiple teams tasked with multiple projects…"
20,Software Developer,SDH Systems,"$70,096 a year","Design and develop web applications using C#.Net, Asp.Net, MVC, and Web API.Create tables, triggers and stored procedures in SQL Server database."
21,Frontend Engineer,Modern Tribe,$40 - $60 an hour,"Craft robust, beautiful, usable interfaces for our products and our client’s projects.Play an integral role in connecting and collaborating with strategy,…"
22,Software Engineer I,Paycor,,"Your primary role is to review, analyze, and modify programming systems.This includes coding, testing and debugging to support client/server software or web…"
23,Software Developer – Entry Level,Grant Street Group,,"Excellent grades and a track record of success.Knowledge of software programming languages (dynamic languages such as Javascript, Ruby, Python, and Perl are…"
24,Software Engineer : Fullstack/Frontend (Full-time Remote wor...,Chargebee,,"The Software Engineer should work efficiently with the Engineering team, develop bug-free code, collaborate well with the product team, and deliver the features…"
25,Tools Programmer - Ready at Dawn,Facebook,,"Experience filtering diverse feedback from artists, designers, and programmers and propose effective solutions.Understanding of general artistic aesthetics."
26,Web Engineer,Calm,,"Using tools like JavaScript, TypeScript, React, HTML, and CSS you will deliver incredible experiences to Calm’s fast-growing user base."
27,Software Developer – Entry Level,Grant Street Group,,"Excellent grades and a track record of success.Knowledge of software programming languages (dynamic languages such as Javascript, Ruby, Python, and Perl are…"
28,Web Development Apprentice,thunderːːtech,,Understanding of professional communication fundamentals.Minimum education of Junior or Senior in High School or Post High School.
29,Gameplay Programmer - Downpour Interactive,Facebook,,"Architect, design, and implement robust software systems.Collaborate with designers and artists to achieve a shared vision.Experienced with C# and C++."
30,Frontend Engineer,Modern Tribe,$40 - $60 an hour,"Craft robust, beautiful, usable interfaces for our products and our client’s projects.Play an integral role in connecting and collaborating with strategy,…"
31,Front-End Developer,GMR Marketing,,"The Front-End Developer works directly with the digital team designers and programmers, assisting in any development-based duties."
32,.NET DEVELOPER (100% Remote),Denken Solutions Inc,,Net Developers for our direct client requirements.We accept H1 Transfers also.Master's Degree or Bachelors with relevant experience.
33,"Android Engineer, Messaging",Spotify,,"The Freemium R&D team oversees the entire user journey on Spotify and ensures we engage with people in innovative ways, every step of the way."
34,Web Designer - WordPress,Recruiter.com,,You must be comfortable working as part of a team while taking the initiative to take lead on new innovations and projects.
35,WebGL Freelancer,Unit9,,"Technically, you will need to have experience in JavaScript (ES6 / ES7), Typescript, React basics, as well as CSS 3D transitions."
36,"SOFTWARE ENGINEER, NFT MARKETPLACE, WEB",DraftKings,,You will be assigned directly to one of these teams and will work alongside senior engineers responsible for bringing you up to speed.
37,Hybrid mobile developer,Ensis Technologies,$145 an hour,"As a member of the development team, the Hybrid Mobile Developer will be responsible for developing web-based mobile applications, particularly using JavaScript…"
38,Software Engineer University Grad,ViaSat,"$83,300 a year","Participate in design, documentation, and development of new APIs.Support continuous software delivery through automated testing, deployment, and monitoring."
39,HTML/Graphic Designers,Webmasters.com,,This position requires experience with design applications such as PhotoShop or Paint Shop Pro.Must be able to provide mockup designs in standard .gif/.jpg…
40,Tools Programmer - Ready at Dawn,Facebook,,"Experience filtering diverse feedback from artists, designers, and programmers and propose effective solutions.Understanding of general artistic aesthetics."
41,Web Engineer,Calm,,"Using tools like JavaScript, TypeScript, React, HTML, and CSS you will deliver incredible experiences to Calm’s fast-growing user base."
42,Software Developer – Entry Level,Grant Street Group,,"Excellent grades and a track record of success.Knowledge of software programming languages (dynamic languages such as Javascript, Ruby, Python, and Perl are…"
43,Web Development Apprentice,thunderːːtech,,Understanding of professional communication fundamentals.Minimum education of Junior or Senior in High School or Post High School.
44,Gameplay Programmer - Downpour Interactive,Facebook,,"Architect, design, and implement robust software systems.Collaborate with designers and artists to achieve a shared vision.Experienced with C# and C++."
45,Frontend Engineer,Modern Tribe,$40 - $60 an hour,"Craft robust, beautiful, usable interfaces for our products and our client’s projects.Play an integral role in connecting and collaborating with strategy,…"
46,Front-End Developer,GMR Marketing,,"The Front-End Developer works directly with the digital team designers and programmers, assisting in any development-based duties."
47,.NET DEVELOPER (100% Remote),Denken Solutions Inc,,Net Developers for our direct client requirements.We accept H1 Transfers also.Master's Degree or Bachelors with relevant experience.
48,"Android Engineer, Messaging",Spotify,,"The Freemium R&D team oversees the entire user journey on Spotify and ensures we engage with people in innovative ways, every step of the way."
49,Web Designer - WordPress,Recruiter.com,,You must be comfortable working as part of a team while taking the initiative to take lead on new innovations and projects.
50,WebGL Freelancer,Unit9,,"Technically, you will need to have experience in JavaScript (ES6 / ES7), Typescript, React basics, as well as CSS 3D transitions."
51,"SOFTWARE ENGINEER, NFT MARKETPLACE, WEB",DraftKings,,You will be assigned directly to one of these teams and will work alongside senior engineers responsible for bringing you up to speed.
52,Hybrid mobile developer,Ensis Technologies,$145 an hour,"As a member of the development team, the Hybrid Mobile Developer will be responsible for developing web-based mobile applications, particularly using JavaScript…"
53,HTML/Graphic Designers,Webmasters.com,,This position requires experience with design applications such as PhotoShop or Paint Shop Pro.Must be able to provide mockup designs in standard .gif/.jpg…
54,Software Developer (Consultant),Macedon Technologies,"Up to $80,000 a year","Our Consultants architect, develop, and deliver creative solutions that help transform the way our clients do business.Zero to two years of experience."
55,WebGL Freelancer,Unit9,,"Technically, you will need to have experience in JavaScript (ES6 / ES7), Typescript, React basics, as well as CSS 3D transitions."
56,Software Developer,SDH Systems,"$70,096 a year","Design and develop web applications using C#.Net, Asp.Net, MVC, and Web API.Create tables, triggers and stored procedures in SQL Server database."
57,Software Engineer I,Paycor,,"Your primary role is to review, analyze, and modify programming systems.This includes coding, testing and debugging to support client/server software or web…"
58,Avail-Software Engineer-Remote - Home Based Worker,Allstate,"$112,000 a year","As a part of Avail, you’ll make a direct impact and help build a business from the ground up.. Build out backend services to handle user transactions and data."
59,Frontend Engineer,Modern Tribe,$40 - $60 an hour,"Craft robust, beautiful, usable interfaces for our products and our client’s projects.Play an integral role in connecting and collaborating with strategy,…"
60,Software Developer – Entry Level,Grant Street Group,,"Excellent grades and a track record of success.Knowledge of software programming languages (dynamic languages such as Javascript, Ruby, Python, and Perl are…"
61,Software Engineer : Fullstack/Frontend (Full-time Remote wor...,Chargebee,,"The Software Engineer should work efficiently with the Engineering team, develop bug-free code, collaborate well with the product team, and deliver the features…"
62,Software Engineer-Remote OK - 20029,Splunk,"$95,000 a year","Splunk's Cloud group is looking for a Software Engineer to help lead, design and develop continuous build and delivery for Cloud Infrastructure."
63,Backend Engineer (Serverless / TypeScript / NodeJS),Mutual of Omaha,"$85,000 - $125,000 a year","Work Type: Full Time Regular.Contribute towards the backend development, building cloud-native services using NodeJS and Typescript on AWS Serverless…"
64,Software Engineer - Unity,Trigger,,"Trigger is looking for a Software Engineer with a passion for mobile application and game development.In this role you’ll help create cutting-edge toys, mobile…"
65,"Software Engineer, Android",Facebook,,Work closely with our product and design teams to build new and innovative application experiences for Android.
66,Front End Engineer,Facebook,,"Architect efficient and reusable front-end systems that drive complex web applications.Identify and drive changes as needed for assigned codebase, product area…"
67,Software Engineer I - Work from home (Remote/Nationwide),"CONNECT, powered by American Family Insurance","$72,800 - $109,200 a year",This position is available nationwide and you will work from your home based office.This person will play a key role in the development and testing of new…
68,Web Engineer,Calm,,"Using tools like JavaScript, TypeScript, React, HTML, and CSS you will deliver incredible experiences to Calm’s fast-growing user base."
69,Campus - Fresher Software Developer Trainee,LeewayHertz,,Computer Science Freshers through Campus Recruitment.A candidate will be working either on Frontend Technology / Backend Technology / Blockchain / Android/ iOS…
70,Software Engineer - Remote - Home Based Worker,Allstate,"$81,900 - $132,000 a year","As a part of Avail, you’ll make a direct impact and help build a business from the ground up.You will be a part of multiple teams tasked with multiple projects…"
71,Software Developer,SDH Systems,"$70,096 a year","Design and develop web applications using C#.Net, Asp.Net, MVC, and Web API.Create tables, triggers and stored procedures in SQL Server database."
72,Frontend Engineer,Modern Tribe,$40 - $60 an hour,"Craft robust, beautiful, usable interfaces for our products and our client’s projects.Play an integral role in connecting and collaborating with strategy,…"
73,Software Engineer I,Paycor,,"Your primary role is to review, analyze, and modify programming systems.This includes coding, testing and debugging to support client/server software or web…"
74,Avail-Software Engineer-Remote - Home Based Worker,Allstate,"$112,000 a year","As a part of Avail, you’ll make a direct impact and help build a business from the ground up.. Build out backend services to handle user transactions and data."
75,Software Developer – Entry Level,Grant Street Group,,"Excellent grades and a track record of success.Knowledge of software programming languages (dynamic languages such as Javascript, Ruby, Python, and Perl are…"
76,Software Engineer : Fullstack/Frontend (Full-time Remote wor...,Chargebee,,"The Software Engineer should work efficiently with the Engineering team, develop bug-free code, collaborate well with the product team, and deliver the features…"
77,Backend Engineer (Serverless / TypeScript / NodeJS),Mutual of Omaha,"$85,000 - $125,000 a year","Work Type: Full Time Regular.Contribute towards the backend development, building cloud-native services using NodeJS and Typescript on AWS Serverless…"
78,Software Engineer-Remote OK - 20029,Splunk,"$95,000 a year","Splunk's Cloud group is looking for a Software Engineer to help lead, design and develop continuous build and delivery for Cloud Infrastructure."
79,"Software Engineer, Android",Facebook,,Work closely with our product and design teams to build new and innovative application experiences for Android.
80,Front End Engineer,Facebook,,"Architect efficient and reusable front-end systems that drive complex web applications.Identify and drive changes as needed for assigned codebase, product area…"
